Date,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Humid , Roll , Pitch , Yaw
2021/10/13,42:02.6,46,32.625,128.5,0.024,-0.003,1.031,0.03,-0.061,-0.061,30.18,30.74,-1.58,-0.37,139.84
2021/10/13,42:03.6,43.25,34.625,128.125,0.026,-0.001,1.032,0.03,-0.122,-0.03,30.17,30.75,-1.48,-0.21,139.79
2021/10/13,42:04.6,44.5,30.375,128.375,0.025,-0.001,1.033,0,-0.091,0,30.18,30.75,-1.62,-0.38,139.89
2021/10/13,42:05.6,45.5,33.25,129.375,0.026,-0.002,1.032,0.03,-0.122,0.03,30.22,30.74,-1.63,-0.37,139.92
2021/10/13,42:06.6,41.875,34.5,132.25,0.025,-0.001,1.032,0,-0.091,0,30.18,30.75,-1.45,-0.15,139.84
2021/10/13,42:07.6,45.5,33.875,127.125,0.025,-0.002,1.031,-0.03,-0.091,0,30.19,30.76,-1.5,-0.21,139.88
2021/10/13,42:08.6,43,33,128.625,0.026,-0.001,1.03,0,-0.091,0,30.14,30.77,-1.49,-0.18,139.88
2021/10/13,42:09.6,42.875,33.625,133.25,0.026,-0.001,1.03,0.03,-0.122,-0.061,30.17,30.76,-1.45,-0.11,139.85
2021/10/13,42:10.6,45,33.75,132.625,0.025,-0.002,1.03,0,-0.03,-0.03,30.12,30.78,-1.48,-0.16,139.88
2021/10/13,42:11.6,43.125,31,128.625,0.025,-0.002,1.03,0,-0.091,0,30.17,30.79,-1.55,-0.26,139.94
2021/10/13,42:12.6,45.25,31.875,125.625,0.026,-0.002,1.033,0.03,-0.061,-0.03,30.13,30.81,-1.63,-0.37,140.01
2021/10/13,42:13.6,44.375,32,129.875,0.025,-0.002,1.031,0,-0.061,-0.03,30.14,30.83,-1.64,-0.37,140.04
2021/10/13,42:14.6,45.25,33.25,127.125,0.026,-0.002,1.032,-0.03,-0.061,-0.03,30.13,30.86,-1.63,-0.35,140.06
2021/10/13,42:15.6,41.875,30.375,126.75,0.024,-0.001,1.031,-0.03,-0.091,-0.03,30.14,30.89,-1.6,-0.34,140.08
2021/10/13,42:16.6,45,31.5,127.125,0.024,-0.003,1.031,0.061,-0.122,-0.03,30.17,30.92,-1.65,-0.41,140.15
2021/10/13,42:17.6,47.625,32.75,130.125,0.024,-0.001,1.03,0,-0.122,-0.061,30.15,30.9,-1.71,-0.48,140.22
2021/10/13,42:18.6,47.625,35.875,127.25,0.024,-0.002,1.031,0.03,-0.091,-0.03,30.1,30.88,-1.62,-0.38,140.21
2021/10/13,42:19.6,42.75,34.5,131.625,0.025,-0.002,1.032,0.03,-0.061,-0.03,30.09,30.9,-1.45,-0.18,140.13
2021/10/13,42:20.6,42.75,34.5,128.75,0.025,-0.001,1.031,0.061,-0.091,0.03,30.1,30.91,-1.36,-0.06,140.08
