Date ,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Roll , Pitch , Yaw
2021/10/13,14:51.9,47.75,14.375,118.125,-0.13,-0.009,1.024,-8.811,12.744,-17.012,27.92,2.59,15.25,-114
2021/10/13,14:52.9,53.875,8201.125,120,-0.123,-0.164,1.039,4.177,6.22,-15.122,27.92,5.39,16.62,-119.57
2021/10/13,14:53.9,44.25,-32765.125,122.375,0.03,-0.305,1.035,11.433,8.171,5.732,27.9,3.08,10.97,-114.03
2021/10/13,14:54.8,43.875,-16385.75,116.375,0.199,-0.354,1.106,26.463,-3.811,8.323,27.86,-0.49,6.58,-109.1
2021/10/13,14:55.9,42.125,-14,110.5,0.301,-0.127,1.06,19.177,-17.866,18.415,27.87,-7.12,6.64,-109.8
2021/10/13,14:56.9,30.375,-6.25,88.875,0.216,0.096,1.071,-0.854,0.732,30.549,27.83,-9.54,7.02,-108.88
2021/10/13,14:57.9,38.875,8202,92,0.031,0.152,1.078,2.134,-10.701,-9.451,27.87,-7.52,10.69,-113.79
2021/10/13,14:58.9,50.25,19,115.875,-0.079,0.025,1.151,-9.97,14.604,-20.579,27.89,-6.11,10.97,-115.55
2021/10/13,14:59.9,55.125,14,116.75,-0.044,-0.098,1.071,4.665,-2.104,-19.756,27.86,-6.41,10.58,-117.54
2021/10/13,15:00.8,57.875,8197.25,117,0.194,-0.099,1.045,6.006,-15.457,3.262,27.88,-6.85,12.11,-123.15
2021/10/13,15:01.8,34.875,-11.875,106.625,0.256,-0.129,1.081,2.378,0.976,40.03,27.87,-8.56,8.08,-120.8
2021/10/13,15:02.9,36,19.375,91.125,0.079,0.223,1.002,14.116,-15.396,-23.902,27.89,-9.28,13.2,-123.44
2021/10/13,15:03.9,42.75,15.75,111,-0.059,0.119,1.029,-6.585,6.646,-28.994,27.9,-6.95,12.83,-125.07
2021/10/13,15:04.9,49.75,10.875,117.5,-0.042,-0.064,1.006,1.982,2.5,-21.28,27.91,-5.89,10.96,-126.43
2021/10/13,15:05.9,55.75,9.875,112.125,0.061,-0.094,0.925,18.841,-12.683,-1.86,27.9,-7.64,10.62,-127.54
2021/10/13,15:06.8,67.5,23.375,118.5,0.366,0.009,1.094,26.28,-19.482,3.537,27.89,-12.55,13.4,-129.33
2021/10/13,15:07.9,14.625,-11.875,125.375,0.109,-0.039,0.976,-7.226,25.457,19.36,27.9,-6.56,8.89,-126.54
2021/10/13,15:08.8,43,-10.125,139.625,0.006,-0.065,1.084,92.622,1.494,-16.067,27.87,-5.23,10.91,-127.08
2021/10/13,15:09.8,43.625,-16386.375,143.75,-0.011,-0.04,1.033,3.384,0,-1.189,27.9,-5.06,8.78,-120.04
2021/10/13,15:10.8,48.125,32766.75,143.875,-0.009,-0.023,1.035,0.03,-0.03,-0.03,27.9,-2.78,10.14,-126.23
